,行政区,街区,小区,经度,纬度,,,
2752,虹口,北外滩,马厂路65弄,121.5115865,31.2697467,,,
2537,虹口,临平路,申工公寓,121.51089,31.26965688,,,
2129,静安,闸北公园,和玉苑,121.472746,31.26958149,,,
1823,静安,西藏北路,新湖青蓝国际,121.4795613,31.26953231,,,
2515,浦东,金桥,金桥新城,121.614337,31.269412,,,
2133,虹口,临平路,飞虹路381号,121.5110852,31.26924367,,,
2137,浦东,金桥,金桥新村四街坊,121.599726,31.269167,,,
1124,浦东,金杨,金杨新村四街坊,121.5997257,31.26916674,,,
1194,虹口,四川北路,宝虹新苑,121.4854333,31.26905278,,,
1130,虹口,临平路,瑞虹新城(一期),121.5026103,31.26901642,,,
2889,嘉定,江桥,嘉城香馥湾,121.3565559,31.26896827,,,
2576,普陀,甘泉宜川,黄陵小区,121.4328797,31.26881641,,,
212,杨浦,东外滩,眉州路515弄,121.538305,31.268788,,,
1394,虹口,临平路,瑞虹新城二期(优贤生活),121.5029303,31.26876217,,,
1158,静安,大宁,柳营路1025弄,121.457451,31.26862682,,,
363,普陀,甘泉宜川,宜川一村,121.4471234,31.26854657,,,
825,普陀,万里,中浩云花园,121.4228271,31.26834139,,,
3059,杨浦,周家嘴路,宝地东花园,121.519596,31.26828089,,,
709,普陀,甘泉宜川,章家巷小区,121.4391371,31.26827449,,,
250,普陀,真光,阳光建华城（四期）（别墅）,121.3721889,31.26824053,,,
1540,普陀,甘泉宜川,子长小区,121.4416139,31.2681822,,,
2278,虹口,临平路,瑞虹新城铭庭,121.5043446,31.26817325,,,
1087,浦东,金杨,蝶恋园,121.577548,31.26816646,,,
302,静安,大宁,洛川中路1100弄,121.4662393,31.26807201,,,
788,虹口,临平路,临平路256弄,121.502115,31.268033,,,
2971,静安,西藏北路,止园路446号,121.4740893,31.26797995,,,
2955,虹口,临平路,临平路250弄,121.5022448,31.2678328,,,
1398,虹口,临平路,虹叶茗园,121.5108123,31.26779869,,,
1507,普陀,真光,阳光威尼斯AB区,121.3785739,31.26768472,,,
58,静安,西藏北路,中山北路570弄,121.4716561,31.2675425,,,
1478,普陀,甘泉宜川,宜川五村,121.450468,31.26748918,,,
2422,静安,大宁,沪太路651弄,121.455285,31.267444,,,
1753,静安,西藏北路,宝昌路632弄,121.477718,31.26743285,,,
1350,静安,大宁,上海滩大宁城(公寓),121.460777,31.26733685,,,
88,浦东,金杨,金桥路530弄,121.580728,31.267273,,,
1869,普陀,甘泉宜川,甘泉三村,121.432618,31.26726216,,,
1241,静安,西藏北路,通阁小区,121.477372,31.26726085,,,
3180,浦东,金杨,大桥花苑,121.5685096,31.26717692,,,
1140,杨浦,东外滩,华谊星城名苑,121.540982,31.26711184,,,
381,杨浦,东外滩,宝立公寓,121.5333587,31.2670748,,,
1035,普陀,真光,清涧四街坊,121.3954941,31.267015,,,
1588,虹口,临平路,虹口现代公寓,121.5018085,31.26696638,,,
1922,普陀,真光,清涧六街坊,121.3870359,31.26689948,,,
1631,普陀,甘泉宜川,宜川二村,121.443969,31.26688598,,,
686,浦东,金桥,金桥湾清水苑,121.601881,31.266827,,,
3047,浦东,金桥,金泽苑,121.6051291,31.26656211,,,
2058,普陀,真如,车站新村(普陀),121.408467,31.266482,,,
1853,普陀,真光,阳光威尼斯(二期),121.3699789,31.26646751,,,
1261,浦东,金桥,碧云新天地(一期),121.5979787,31.26643625,,,
1871,静安,西藏北路,芷江西路123弄,121.4709533,31.26642391,,,
2547,嘉定,江桥,嘉莲华商住酒店式公寓(商业类),121.351004,31.26641187,,,
238,普陀,真光,阳光威尼斯(三期),121.3732401,31.26640276,,,
2361,静安,大宁,普善新苑,121.4603731,31.26632436,,,
253,静安,西藏北路,长征大厦,121.4838908,31.26626085,,,
515,浦东,塘桥,家化滨江苑,121.5139185,31.2662303,,,
2575,普陀,甘泉宜川,金原新苑,121.4331792,31.26619843,,,
3005,杨浦,东外滩,百兴花园,121.5396276,31.26587109,,,
12,普陀,真如,星河世纪广场,121.4010948,31.26586306,,,
2958,普陀,真如,嘉发公寓,121.4063068,31.26579778,,,
883,浦东,金桥,陈家宅小区(浦东大道),121.5686884,31.26569723,,,
1391,杨浦,中原,民星路414号,121.543456,31.317824,,,
1900,杨浦,鞍山,耀浦苑,121.520715,31.277285,,,
2762,杨浦,中原,国和路610弄,121.525625,31.320395,,,
846,浦东,金杨,仙都绿苑,121.5692662,31.26549127,,,
716,普陀,真光,清涧七街坊,121.3922899,31.26545084,,,
2071,静安,不夜城,共和新路970弄,121.46784,31.265309,,,
3086,静安,西藏北路,芷江中路493弄,121.4754818,31.26530237,,,
111,静安,西藏北路,芷江中路459弄,121.4761893,31.26521903,,,
320,普陀,甘泉宜川,泾惠小区,121.4418353,31.2652073,,,
1793,普陀,真如,星河世纪城,121.4006461,31.26518021,,,
2789,浦东,金桥,连城苑,121.5916977,31.26514649,,,
506,杨浦,东外滩,杭州路107弄,121.5424681,31.26507171,,,
1947,浦东,金桥,金海商业广场,121.6118281,31.26505049,,,
23,嘉定,丰庄,金鼎香樟苑(东区),121.3694241,31.26504378,,,
1708,普陀,甘泉宜川,宜川六村,121.445492,31.26501191,,,
415,浦东,金杨,金樟花苑,121.5713996,31.26499038,,,
803,浦东,金杨,弘扬公寓,121.5758166,31.26496144,,,
2563,静安,西藏北路,绿洲雅宾利花园(二期),121.4807064,31.26495689,,,
1481,浦东,金桥,张桥小区,121.6367598,31.26495087,,,
3075,普陀,甘泉宜川,宜洛馨苑,121.4454236,31.26455708,,,
1990,杨浦,东外滩,眉州路100弄,121.545044,31.264533,,,
925,静安,不夜城,芷江西路285弄,121.46735,31.264512,,,
403,嘉定,丰庄,安盛苑,121.3831382,31.26447806,,,
2175,浦东,金桥,金巷小区,121.606229,31.264444,,,
1686,普陀,甘泉宜川,宜川三村,121.4491744,31.26443909,,,
2244,静安,不夜城,北美公寓,121.465179,31.26440846,,,
1288,浦东,金杨,东方知音苑,121.5812174,31.26438801,,,
1772,杨浦,东外滩,翡丽甲第,121.5255436,31.26436656,,,
878,普陀,真如,真北二街坊,121.4027328,31.26434024,,,
2875,静安,不夜城,沪太家具大厦,121.4569071,31.26425621,,,
1335,虹口,北外滩,鸿旭豪苑,121.5181466,31.26423429,,,
2198,普陀,真光,上海家园,121.397654,31.2641359,,,
47,虹口,临平路,垦业小区,121.50039,31.264053,,,
1623,静安,西藏北路,申桂公寓,121.4862549,31.2640406,,,
1370,浦东,金杨,昕泰苑,121.5692334,31.26398149,,,
112,杨浦,东外滩,海杨公寓,121.535411,31.26371186,,,
3098,静安,西藏北路,宝山路499弄,121.4847172,31.26366155,,,
1197,静安,西藏北路,万科翡翠雅宾利,121.4785614,31.26358044,,,
2861,虹口,临平路,香港丽园,121.5039861,31.26349332,,,
430,嘉定,丰庄,栅桥小区,121.3549662,31.26346824,,,
2736,嘉定,江桥,华江一村,121.3545531,31.26342047,,,
753,嘉定,江桥,爱德佳苑(二期),121.3501894,31.26335102,,,
1862,静安,彭浦,岭南路270弄,121.4675849,31.26330179,,,
849,虹口,北外滩,安国大楼,121.514963,31.26323897,,,
529,静安,西藏北路,奔腾新干线,121.4836852,31.2630114,,,
1813,虹口,临平路,远虹大厦,121.5065467,31.26297181,,,
140,普陀,光新,管弄四街坊,121.42924,31.26295985,,,
365,普陀,真如,品尊国际,121.427025,31.26295885,,,
1691,虹口,北外滩,荣胜公寓,121.515504,31.2628779,,,
630,静安,不夜城,都荟贤居,121.4649934,31.26284842,,,
658,嘉定,丰庄,V格时代广场,121.3682857,31.2628147,,,
208,静安,不夜城,普铁新村,121.4597445,31.26274108,,,
214,杨浦,东外滩,银龙新村,121.536814,31.26266383,,,
3186,嘉定,江桥,汇丰沁苑,121.334502,31.26255387,,,
2866,浦东,金杨,龙居苑,121.5643534,31.26241496,,,
2268,浦东,金杨,黄山始信苑,121.5769122,31.26239868,,,
607,普陀,甘泉宜川,和丰苑,121.45049,31.26239744,,,
946,静安,不夜城,博苑公寓,121.4655036,31.26236982,,,
668,普陀,光新,管弄一二街坊,121.4319492,31.26235423,,,
2729,虹口,北外滩,中虹明珠苑,121.509139,31.26230986,,,
923,普陀,真如,天汇广场,121.409884,31.26230584,,,
2083,杨浦,东外滩,崇业小区,121.543654,31.2622813,,,
2492,浦东,金桥,爱法新都,121.6068421,31.26226811,,,
326,杨浦,东外滩,首创天阅滨江,121.5256786,31.26217998,,,
1415,静安,不夜城,华龙大酒店,121.458618,31.26202487,,,
2012,浦东,金杨,金桥瑞仕花园,121.583114,31.262021,,,
2173,普陀,甘泉宜川,龚家宅,121.4520984,31.26193713,,,
1315,虹口,临平路,瑞嘉苑,121.495268,31.261926,,,
2041,普陀,光新,香溢天地官邸,121.444519,31.261916,,,
2661,普陀,光新,香溢花城(住宅),121.4395755,31.26189738,,,
95,普陀,真如,真北新村三街坊,121.4060432,31.26163647,,,
2592,嘉定,江桥,江桥二村,121.353151,31.26149517,,,
226,普陀,中远两湾城,万业新阶,121.4474373,31.2614589,,,
1803,浦东,金桥,嘉泷汇,121.5956072,31.26142912,,,
2072,嘉定,丰庄,嘉秀新苑,121.3735428,31.26138305,,,
202,静安,不夜城,越秀苑,121.4645231,31.26137317,,,
526,普陀,真如,高尚领域,121.415192,31.26116589,,,
1637,静安,西藏北路,蒙特利名都城,121.4815804,31.26108563,,,
2607,虹口,四川北路,国际明佳城,121.492916,31.26092288,,,
2705,杨浦,东外滩,保利香槟苑,121.533626,31.26090852,,,
2743,静安,西藏北路,临山路176号,121.4803863,31.26077525,,,
2005,普陀,光新,管弄三街坊,121.4293644,31.26076067,,,
590,杨浦,东外滩,凯达苑,121.5381112,31.26059058,,,
3023,普陀,光新,宝钢公寓,121.4417869,31.26045707,,,
1000,普陀,光新,宝华城市之星,121.4362631,31.26044936,,,
2543,虹口,临平路,中皇广场,121.5006345,31.26044033,,,
2609,静安,西藏北路,原水小区(闸北),121.4713512,31.26038114,,,
3144,静安,不夜城,中华新路890弄,121.4621634,31.26022093,,,
2350,普陀,真光,真光新村第二小区,121.3939226,31.26009306,,,
711,虹口,北外滩,惠民路258号,121.520613,31.260042,,,
2502,嘉定,江桥,锦华茗园,121.338564,31.25990684,,,
2104,静安,西藏北路,复地新都国际,121.4822487,31.25977997,,,
33,浦东,金杨,金杨新村九街坊,121.588216,31.25970489,,,
2648,杨浦,东外滩,申泉小区,121.5347187,31.25956644,,,
548,浦东,金杨,上海未来,121.5787654,31.2593874,,,
2479,虹口,四川北路,中州路123号,121.4887524,31.25913744,,,
423,静安,西藏北路,中兴路一号,121.468532,31.25912478,,,
2138,普陀,光新,月亮湾,121.44072,31.25903989,,,
542,浦东,金桥,中惠广场,121.61618,31.25898587,,,
561,浦东,金杨,罗山二村,121.563564,31.258912,,,
656,浦东,金杨,点睛苑,121.5903641,31.25889311,,,
438,静安,西藏北路,兴亚广场(办公楼),121.479848,31.25888285,,,
762,静安,不夜城,兴新小区,121.4682541,31.25866067,,,
2114,虹口,北外滩,前进小区,121.500852,31.25861807,,,
197,浦东,金桥,碧海现代苑,121.6073601,31.25841742,,,
2197,普陀,光新,石泉大厦,121.4360267,31.25820466,,,
2051,嘉定,丰庄,兆地生活广场,121.368373,31.258149,,,
1294,普陀,中远两湾城,中远两湾城,121.4476989,31.25805502,,,
2757,静安,西藏北路,永兴小马路80号,121.470683,31.25805116,,,
1613,静安,西藏北路,虬江路888弄,121.4821167,31.25803487,,,
67,普陀,真如,石岚三村,121.4287643,31.25796279,,,
2784,静安,不夜城,永兴路973弄,121.4660761,31.25783793,,,
94,虹口,北外滩,久耕小区,121.4971593,31.25771538,,,
1444,静安,西藏北路,光华坊,121.4729519,31.25758916,,,
1048,普陀,光新,光新大楼,121.437495,31.257565,,,
1466,浦东,金杨,金杨新村十街坊,121.589073,31.257537,,,
2518,浦东,金杨,罗山三村,121.56842,31.257465,,,
1159,浦东,金桥,江南山水,121.592432,31.278662,,,
1217,浦东,金桥,东一小区,121.602715,31.276437,,,
2413,普陀,武宁,西谈家渡路129弄,121.4360179,31.25708958,,,
1783,普陀,光新,嘉富利大厦,121.4352489,31.25692566,,,
572,静安,不夜城,中海万锦城(一期),121.4667042,31.25690336,,,
949,浦东,金杨,陆家嘴新景园,121.5803566,31.25684146,,,
2473,普陀,光新,太浜巷小区,121.4320609,31.25666334,,,
43,静安,西藏北路,王家宅路52号,121.478958,31.25660585,,,
945,静安,西藏北路,凯鹏国际大厦,121.4706009,31.2564877,,,
2779,普陀,真如,中海臻如府,121.4191007,31.25631683,,,
2099,浦东,金杨,金台三居,121.5961086,31.25619791,,,
546,普陀,真如,石岚二村,121.4294847,31.25602118,,,
2324,普陀,真如,申兴华庭,121.423607,31.25583989,,,
1304,静安,西藏北路,精文城上城,121.471481,31.25574991,,,
345,虹口,北外滩,新外滩花苑,121.5107933,31.25554863,,,
1942,静安,不夜城,中海万锦城(二期),121.4672408,31.25541782,,,
720,浦东,洋泾,浦发壹滨江,121.55497,31.25535786,,,
1704,静安,不夜城,富泉公寓,121.4686581,31.25528593,,,
1334,普陀,真如,水塘小区,121.4061048,31.25526656,,,
1145,浦东,金杨,金杨二街坊,121.581393,31.255202,,,
2182,嘉定,丰庄,中环财富杰座,121.3792066,31.25514632,,,
3127,普陀,真光,长征家苑,121.394979,31.25514084,,,
127,普陀,真如,兰凤新村,121.4306797,31.25512834,,,
1463,普陀,长寿路,浅水湾恺悦名城,121.4479274,31.25497977,,,
921,普陀,光新,石泉路1号,121.437502,31.259446,,,
1734,普陀,真如,桃浦路191弄,121.40575,31.266137,,,
2404,嘉定,江桥,水岸金桥苑,121.5953767,31.25494605,,,
1218,普陀,真光,真光九街坊,121.3922785,31.25494335,,,
1314,静安,西藏北路,和源馨苑,121.473918,31.25465185,,,
2800,普陀,光新,秋月枫舍,121.4356808,31.25463981,,,
1093,嘉定,丰庄,真南小区,121.3798474,31.25426984,,,
2107,浦东,洋泾,凌四小区,121.552805,31.254104,,,
791,嘉定,丰庄,丰庄十四街坊,121.3624039,31.25405196,,,
1096,普陀,真如,海棠苑,121.397701,31.25397587,,,
1808,嘉定,丰庄,泰宸景苑,121.3838586,31.25391976,,,
1986,浦东,金杨,罗山六村,121.566749,31.253907,,,
1205,普陀,真如,岚皋西路95弄,121.4291328,31.25389692,,,
1104,嘉定,江桥,金沙鼎苑,121.3140867,31.25386736,,,
81,普陀,长寿路,世纪之门,121.4455031,31.25382483,,,
304,嘉定,江桥,金鹤新城双佳翠庭,121.319776,31.25380585,,,
2859,普陀,长征,振光大厦,121.3887423,31.2536755,,,
61,浦东,洋泾,和达家园,121.552243,31.2535223,,,
3035,普陀,长寿路,半岛花园,121.4414844,31.25352215,,,
2229,嘉定,丰庄,丰庄十二街坊,121.3649276,31.25340329,,,
1693,普陀,光新,中山北路2185弄,121.434457,31.25337289,,,
969,普陀,武宁,泰欣嘉园,121.439197,31.25335853,,,
725,浦东,金杨,金杨七街坊,121.587935,31.25330474,,,
294,普陀,长寿路,澳门新苑,121.4534241,31.25298584,,,
1440,普陀,真如,曹杨八村,121.411547,31.25292889,,,
2467,虹口,北外滩,恒升半岛,121.4959903,31.25277507,,,
2663,静安,西藏北路,圣和圣广场丽晶馆,121.4873459,31.2526681,,,
3,浦东,洋泾,博山小区,121.562591,31.252661,,,
563,静安,西藏北路,圣和圣广场(公寓),121.4873766,31.25265653,,,
15,浦东,金杨,上泰花苑,121.5699261,31.25247863,,,
2536,普陀,真如,颐宁苑,121.4163266,31.25234157,,,
817,静安,不夜城,联通国际大厦,121.4562341,31.25234118,,,
1277,普陀,长寿路,富丽大厦,121.4487419,31.25232335,,,
2819,普陀,真如,真如西村,121.4058069,31.25231162,,,
2007,普陀,长寿路,乐活居,121.4453635,31.25229294,,,
1780,普陀,真如,真西新村第二小区,121.4015542,31.25221337,,,
1225,普陀,武宁,芙蓉花苑,121.436796,31.25214384,,,
2669,浦东,洋泾,阳二小区,121.557579,31.25201788,,,
690,嘉定,江桥,金霞苑,121.3238671,31.25188768,,,
1951,普陀,长风,梅川四街坊,121.3968856,31.25170361,,,
100,静安,西藏北路,天目中路260号,121.4759381,31.25161455,,,
434,浦东,金杨,金杨新村五街坊,121.58415,31.251603,,,
2048,浦东,金杨,金杨新村八街坊,121.590714,31.251511,,,
1668,浦东,金杨,仁和花苑,121.570856,31.251358,,,
2042,嘉定,丰庄,丰庄二村,121.371066,31.25133485,,,
2642,普陀,长寿路,澳门小区,121.4429441,31.25130344,,,
674,静安,不夜城,安源小区,121.4574231,31.25126115,,,
2039,嘉定,丰庄,金沙嘉苑,121.3589112,31.25120496,,,
747,浦东,金杨,和景商务楼,121.578707,31.250821,,,
2579,嘉定,丰庄,嘉宝都市港湾,121.3639755,31.2508017,,,
1257,普陀,长寿路,澳门大厦,121.4422158,31.25048203,,,
1907,浦东,洋泾,名门河滨花园,121.558596,31.250434,,,
2369,静安,西藏北路,海联公寓,121.4768934,31.2503174,,,
807,静安,西藏北路,中心铂庭,121.4716792,31.25015316,,,
1851,虹口,四川北路,外滩99,121.4895843,31.25006101,,,
1614,静安,西藏北路,金城大厦,121.47486,31.2500279,,,
55,静安,西藏北路,苏河湾中心润府,121.4860288,31.24996284,,,
782,浦东,碧云,金桥酒店公寓,121.5945279,31.24988064,,,
2069,普陀,长寿路,电力公寓,121.4415522,31.24986328,,,
2298,嘉定,江桥,中房公寓,121.3176233,31.24962965,,,
2942,普陀,长寿路,康怡苑,121.440056,31.24958636,,,
2723,静安,西藏北路,华祺苑,121.4754305,31.24954692,,,
614,浦东,金杨,香山新村东北街坊,121.5762993,31.24938082,,,
31,浦东,金杨,金杨六街坊,121.580335,31.249353,,,
38,普陀,长寿路,德怡苑,121.4394375,31.24918641,,,
2708,虹口,四川北路,河滨大楼,121.4900486,31.24910737,,,
124,普陀,长寿路,圣天地服务式公寓,121.4498111,31.2490931,,,
2213,普陀,武宁,东新支路55弄,121.431369,31.249069,,,
406,浦东,碧云,凤凰大厦,121.5922832,31.24903552,,,
1,静安,西藏北路,中粮天悦壹号,121.4811239,31.24903537,,,
1551,普陀,长寿路,乐怡苑(普陀),121.4378796,31.2488093,,,
885,普陀,曹杨,曹杨三村(兰岭园),121.4075541,31.24870912,,,
1879,浦东,金杨,香山新村东南街坊,121.5753608,31.24869538,,,
145,浦东,梅园,九庐,121.522312,31.248693,,,
2526,浦东,梅园,惠扬大厦,121.5399,31.248625,,,
559,浦东,碧云,碧云东方公寓,121.596733,31.24852,,,
1495,普陀,长寿路,银座花苑,121.4405111,31.24842556,,,
408,普陀,长寿路,源达大厦,121.445272,31.24829389,,,
797,浦东,唐镇,金盛佳苑,121.6929546,31.24821308,,,
179,浦东,洋泾,西镇小区(浦东),121.556307,31.248126,,,
1416,静安,西藏北路,华侨城苏河湾行政公馆,121.4795111,31.24809623,,,
1400,普陀,长寿路,工商大楼,121.4463137,31.24804513,,,
2305,静安,不夜城,长安路480弄,121.467733,31.24802885,,,
2382,普陀,长寿路,玉城宝都大厦,121.4491776,31.247866,,,
980,静安,江宁路,静安河滨花园,121.457394,31.24774089,,,
3055,普陀,武宁,武宁小城,121.4291641,31.24768385,,,
704,普陀,长风,梅六小区,121.3941175,31.24755411,,,
2370,静安,西藏北路,北市场小区,121.477355,31.24746689,,,
2797,普陀,曹杨,北枫桥园,121.4162594,31.2473955,,,
810,普陀,长风,梅川二街坊,121.3988173,31.24737412,,,
2228,浦东,梅园,荣成小区,121.525231,31.247368,,,
1652,普陀,武宁,新湖明珠城（三期）,121.4337314,31.24735428,,,
3168,浦东,洋泾,崮山小区四街坊,121.567352,31.24734,,,
1713,浦东,梅园,荣成路41弄,121.5251059,31.24733082,,,
252,浦东,梅园,巨洋豪园,121.5395217,31.24726313,,,
420,静安,江宁路,句容小区,121.4557708,31.24698682,,,
1579,普陀,武宁,武宁二村,121.4307991,31.24697609,,,
464,浦东,梅园,东晶国际公寓,121.5377257,31.24690894,,,
580,普陀,长风,梅北小区,121.404559,31.24683307,,,
993,普陀,长寿路,九茂小区,121.4496248,31.24675697,,,
1207,普陀,长寿路,恒达公寓,121.4462585,31.24675018,,,
2130,浦东,梅园,浦江茗园,121.5196967,31.24673304,,,
2890,黄浦,南京东路,河畔明珠,121.4818332,31.24672,,,
1403,静安,不夜城,一天下大厦,121.4635409,31.24671205,,,
398,普陀,武宁,中环大厦,121.443509,31.24661488,,,
1890,普陀,长寿路,华侨城,121.447622,31.24654286,,,
822,普陀,长风,梅川一街坊,121.401724,31.24630946,,,
940,嘉定,江桥,江桥万达广场(嘉定),121.3301119,31.24630738,,,
84,浦东,梅园,梅园教师公寓,121.529421,31.24624085,,,
2649,嘉定,江桥,水岸秀苑,121.3152038,31.24614746,,,
2584,浦东,曹路,金葵新城(东区),121.637775,31.24604789,,,
1128,浦东,洋泾,崮山小区三街坊,121.568136,31.245954,,,
1530,黄浦,南京东路,北京东路335-355号,121.4900106,31.24594223,,,
841,浦东,梅园,巨西小区,121.551974,31.24588,,,
1317,普陀,武宁,武宁一村,121.431904,31.2458209,,,
2758,静安,江宁路,海防路199号,121.4553273,31.24582028,,,
1392,普陀,武宁,新湖明珠城（一二期）,121.4356607,31.24577829,,,
3007,浦东,碧云,银泰花园(公寓),121.5841778,31.2456991,,,
2265,普陀,曹杨,曹杨君悦苑,121.419168,31.2456609,,,
1011,浦东,梅园,瑞苑公寓,121.5176921,31.24559845,,,
3021,浦东,梅园,梅园一街坊,121.528524,31.245586,,,
335,普陀,长征,泰宸苑,121.371757,31.245577,,,
154,黄浦,南京东路,上海大楼,121.4925376,31.24557445,,,
845,普陀,长征,真源小区,121.3874652,31.24556804,,,
1396,黄浦,人民广场,家化中房苑,121.4786521,31.24537424,,,
2217,普陀,长风,上钞苑,121.3939969,31.24529937,,,
373,静安,江宁路,三乐新村,121.4580246,31.24524071,,,
2081,浦东,洋泾,中星海上景庭,121.555012,31.245239,,,
1242,浦东,洋泾,崮山小区二街坊,121.569818,31.245028,,,
1994,浦东,梅园,地产尚海郦景,121.5876467,31.24496339,,,
2485,静安,江宁路,海防村,121.4515001,31.24490535,,,
972,普陀,武宁,武宁路74弄,121.430561,31.244797,,,
608,普陀,曹杨,曹杨六村(兰溪园),121.420599,31.24478185,,,
2248,黄浦,人民广场,长新大楼,121.476367,31.24467588,,,
2523,黄浦,人民广场,水景苑,121.4771684,31.24467024,,,
2089,浦东,梅园,崂山新村,121.525299,31.244659,,,
1983,普陀,曹杨,花溪园,121.4156652,31.24446956,,,
736,静安,江宁路,达安锦园,121.448601,31.24436189,,,
556,普陀,武宁,中联大厦,121.424737,31.24434684,,,
1499,浦东,梅园,民生家园,121.5501714,31.24431813,,,
1297,浦东,梅园,崂山六村,121.524028,31.2442509,,,
931,浦东,张江,汇智湖畔家园,121.612601,31.205321,,,
1254,浦东,花木,绿缘公寓,121.554676,31.21601,,,
3102,浦东,张江,贝越流明新苑,121.628958,31.208553,,,
3142,浦东,张江,长城中环墅,121.634451,31.189283,,,
2372,普陀,长寿路,长寿路535号,121.4417869,31.24415704,,,
1399,静安,江宁路,海防路403弄,121.4522359,31.24415133,,,
172,浦东,碧云,中天碧云,121.583259,31.24413489,,,
1064,静安,江宁路,静安艺庭,121.4516986,31.24413088,,,
491,黄浦,世博滨江,春江大楼,121.496191,31.244087,,,
1406,黄浦,人民广场,上海滩新昌城,121.4723324,31.24404929,,,
2993,静安,江宁路,西康路828号,121.4504993,31.24404852,,,
756,普陀,长寿路,长寿路545号,121.4415252,31.24400985,,,
2627,黄浦,人民广场,金色家园,121.4745451,31.24393483,,,
347,浦东,梅园,巨杨小区,121.553104,31.243905,,,
1945,普陀,武宁,东沙小区,121.432753,31.24388466,,,
750,普陀,长寿路,长久大厦,121.4426236,31.24387671,,,
2692,普陀,曹杨,曹杨四村(兰花大楼),121.4139813,31.24361297,,,
2635,普陀,长征,象源丽都,121.384089,31.24357083,,,
3138,普陀,长寿路,湖南大厦,121.438176,31.2435628,,,
1126,浦东,川沙,陆家嘴锦绣观澜,121.5320498,31.24331959,,,
2055,静安,江宁路,新丰小区,121.4463128,31.24328208,,,
1418,普陀,武宁,江南新村(普陀),121.422419,31.24324,,,
2462,普陀,曹杨,曹杨四村(枣阳园),121.4103756,31.24318637,,,
793,静安,南京西路,太和小区,121.4647969,31.24318505,,,
1805,青浦,华新,华腾佳苑,121.245213,31.243073,,,
1984,浦东,梅园,梅园新村(浦东),121.5290927,31.2430367,,,
944,浦东,洋泾,新城名庭,121.5588604,31.24302034,,,
1251,黄浦,人民广场,承兴里,121.4750878,31.24300938,,,
3064,普陀,长寿路,上海本色,121.4265012,31.24300815,,,
2257,浦东,碧云,金桥爱建园,121.5804727,31.2429863,,,
1919,普陀,长征,金沙雅苑(四期),121.3728525,31.24276401,,,
98,浦东,梅园,梅园二街坊,121.5297488,31.24275042,,,
2910,普陀,曹杨,曹杨五村(梅花园),121.4154445,31.24274101,,,
139,静安,江宁路,静安新格公寓,121.4565205,31.24267138,,,
2581,普陀,长风,中天SOHO,121.3986429,31.24253847,,,
1644,浦东,洋泾,巨东小区,121.556842,31.24252489,,,
1305,青浦,华新,虹桥金茂悦,121.239741,31.242468,,,
2845,静安,江宁路,良清公寓,121.4545064,31.24242292,,,
1719,普陀,长征,新长征花苑,121.3806038,31.24234551,,,
1420,普陀,长寿路,梅山馨苑,121.4416274,31.24230653,,,
2387,静安,南京西路,达安城,121.4676938,31.24226029,,,
1781,静安,南京西路,泰府名邸,121.4614592,31.24224115,,,
2420,浦东,梅园,崂山三村,121.524915,31.24223,,,
169,黄浦,人民广场,爱仁里,121.4759467,31.24216327,,,
1202,浦东,梅园,招远小区,121.521541,31.241949,,,
618,嘉定,江桥,绿地新江桥城二期,121.3185826,31.24188825,,,
778,静安,曹家渡,森凯苑,121.4437603,31.24187652,,,
384,浦东,梅园,陆家嘴国际华城,121.542054,31.241847,,,
1897,静安,江宁路,康宁大楼,121.4573597,31.24180976,,,
3019,普陀,武宁,普陀四村,121.4221579,31.24175349,,,
1390,静安,江宁路,曼克顿豪庭,121.4879611,31.24172994,,,
1267,静安,江宁路,华通大厦,121.452926,31.24156091,,,
746,静安,南京西路,新福康里(公寓),121.4653901,31.24154431,,,
910,黄浦,人民广场,协和里,121.4772272,31.24138152,,,
1812,普陀,武宁,谈家渡路140弄,121.429926,31.24125579,,,
407,静安,江宁路,君御豪庭,121.4518128,31.24121565,,,
2695,浦东,碧云,金色碧云,121.5820165,31.241206,,,
217,静安,曹家渡,晋元里,121.4444001,31.24110967,,,
1029,普陀,武宁,达丰新村,121.4216296,31.24108196,,,
1763,浦东,梅园,梅园六街坊,121.5334374,31.24102152,,,
1447,静安,江宁路,陕西北路721弄,121.457022,31.24097498,,,
3074,普陀,长寿路,大众河滨酒店式公寓,121.43659,31.24093083,,,
2615,浦东,洋泾,中星怡景花园,121.5606285,31.24073369,,,
361,静安,曹家渡,延平路481弄,121.4431357,31.24067573,,,
856,静安,曹家渡,华纺小区,121.43843,31.24061282,,,
1766,静安,南京西路,申银发展大厦,121.4607643,31.24056249,,,
1016,普陀,曹杨,曹杨四村(桐柏园),121.4116865,31.24053054,,,
272,静安,江宁路,武定大楼,121.45867,31.24046153,,,
2826,黄浦,人民广场,黄河路107弄,121.4766324,31.24046053,,,
170,静安,南京西路,静安紫苑,121.459686,31.24044285,,,
367,普陀,武宁,南光大楼,121.42294,31.24042703,,,
389,浦东,梅园,梅园三街坊,121.5307913,31.2403686,,,
2901,浦东,梅园,松林小区,121.537243,31.240242,,,
637,静安,曹家渡,延平路450弄,121.4441359,31.24021646,,,
2641,浦东,梅园,乳山四村,121.528396,31.240158,,,
1725,静安,江宁路,静安凤凰苑,121.4480847,31.24010824,,,
