,行政区,街区,小区,经度,纬度
1998,宝山,顾村,绿地北郊广场(商铺),121.3864799,31.36142964
902,闵行,莘庄,水清一村,121.3869823,31.11984059
1330,宝山,上大,锦泰苑,121.3870432,31.32279482
721,闵行,莘庄,邻里苑,121.3871441,31.10780732
1526,宝山,上大,葑润华庭,121.3873725,31.32898523
794,宝山,上大,大华朗香花园(四期),121.3874115,31.32730852
845,普陀,长征,真源小区,121.3874652,31.24556804
3119,宝山,上大,滨江公园壹号,121.3875006,31.33157153
2474,闵行,静安新城,九歌花园,121.3876557,31.16537599
2082,闵行,古美,平吉二村,121.3877324,31.14904898
211,长宁,西郊,虹桥商务别墅,121.3879312,31.19942849
1563,闵行,华漕,虹桥茗雅苑,121.3881739,31.1548779
2418,闵行,莘庄,开城新村,121.3883161,31.11317405
2908,闵行,金虹桥,流晶逸彩,121.3885769,31.18989093
121,闵行,莘庄,水清二村,121.3885891,31.12203938
77,闵行,古美,古美小区,121.3886119,31.11884258
2859,普陀,长征,振光大厦,121.3887423,31.2536755
1809,长宁,仙霞,新乐小区,121.3889583,31.21250109
2974,长宁,仙霞,天台家园,121.3891706,31.21810263
3123,闵行,古美,平阳三村,121.3893141,31.13820326
2192,闵行,古美,平阳一村,121.3893767,31.14140667
996,长宁,仙霞,西郊紫薇花园,121.3894121,31.21423082
1142,宝山,上大,祁连三村,121.3894156,31.3173059
2313,长宁,仙霞,光华大厦,121.3897186,31.21661061
2205,闵行,静安新城,静安新城四区,121.3897759,31.16477762
2892,长宁,天山,知雅园,121.3900208,31.21904933
2396,闵行,金虹桥,古北尚郡,121.3900305,31.18858991
1247,长宁,天山,天山怡景苑,121.3902428,31.22391637
2764,闵行,静安新城,静安新城二区,121.3903064,31.16348081
722,长宁,天山,天山中华园,121.3903988,31.22043492
2574,宝山,大场镇,美诗邸,121.390518,31.31297135
1438,长宁,西郊,森晟世洋国际广场,121.390556,31.19695034
9,长宁,天山,海逸公寓,121.3906642,31.22204168
587,闵行,莘庄,好世鹿鸣苑,121.390722,31.11108195
2698,宝山,上大,当代高邸,121.3908325,31.32198876
2498,闵行,古美,平吉一村,121.3908336,31.15131824
1939,长宁,仙霞,威宁大楼,121.390908,31.21241685
2699,闵行,莘庄,紫欣公寓,121.390972,31.11940106
2549,长宁,西郊,延北小区,121.3910328,31.19877882
2593,闵行,静安新城,静安新城三区,121.3912205,31.16648004
2096,长宁,仙霞,虹仙小区,121.3913189,31.21072708
2500,长宁,仙霞,威宁小区,121.391483,31.21486687
685,普陀,桃浦,安居金祁新城,121.3916185,31.29858246
985,闵行,古美,江南星城(二期),121.3917029,31.14188859
899,闵行,古美,鸿发家园,121.3918257,31.13575167
2605,闵行,古美,欧风花都,121.392015,31.15690652
1094,闵行,老闵行,龙湖天琅,121.392027,31.02985797
1376,闵行,古美,平阳三街坊,121.3921557,31.14031755
1218,普陀,真光,真光九街坊,121.3922785,31.25494335
716,普陀,真光,清涧七街坊,121.3922899,31.26545084
1479,长宁,北新泾,中海长宁第,121.3924478,31.22172252
316,闵行,古美,春意苑,121.3924706,31.13403358
1536,闵行,金虹桥,华光花园,121.392489,31.19318586
989,闵行,古美,春江锦庐,121.3925264,31.13781389
1389,长宁,仙霞,安龙小区,121.392852,31.21755385
992,闵行,古美,蓝色港湾(公寓),121.3929331,31.15320215
3155,闵行,老闵行,万科城,121.3929382,31.03250297
1711,宝山,顾村,东方帕堤欧,121.3929549,31.35765998
2140,宝山,大场镇,聚丰福邸,121.3930277,31.31303621
2633,闵行,莘庄,香树丽舍,121.3930841,31.11246133
87,长宁,虹桥,西郊华庭,121.3934868,31.20682153
2809,闵行,金虹桥,虹田苑,121.3934917,31.19587925
2242,长宁,天山,天山华庭,121.393642,31.22241186
493,闵行,古美,新梅花苑,121.3936624,31.13097969
2350,普陀,真光,真光新村第二小区,121.3939226,31.26009306
2217,普陀,长风,上钞苑,121.3939969,31.24529937
2717,普陀,桃浦,恒盛鼎城圣都汇,121.3940779,31.28398342
704,普陀,长风,梅六小区,121.3941175,31.24755411
3143,闵行,莘庄,绿水家园,121.394348,31.10299516
3117,宝山,顾村,井晓公馆,121.394379,31.35714386
715,闵行,古美,东方御花园,121.3944935,31.13480617
313,长宁,仙霞,银鑫公寓,121.3946505,31.21129451
1489,长宁,仙霞,虹古大楼,121.3946949,31.21060663
3127,普陀,真光,长征家苑,121.394979,31.25514084
1733,闵行,古美,新梅公寓一期,121.395101,31.12872099
2455,宝山,顾村,旭辉依云湾,121.3951632,31.35509946
138,长宁,仙霞,珍宝公寓,121.3951866,31.2174385
1922,普陀,真光,清涧六街坊,121.395189,31.26594285
1035,普陀,真光,清涧四街坊,121.3954941,31.267015
2827,长宁,仙霞,水霞小区,121.395836,31.21438486
1115,长宁,仙霞,茅台雅苑,121.3960221,31.21410767
2711,宝山,大华,祁秀雅苑,121.3960563,31.30152405
2768,宝山,大华,南秀雅苑,121.3960563,31.30152405
56,长宁,仙霞,虹霞小区,121.3961797,31.21028187
455,闵行,莘庄,莲浦新苑,121.3965079,31.11276117
3118,闵行,古美,莘光苑,121.3965586,31.13111407
264,闵行,莘庄,都市星城,121.3966582,31.10902466
2442,闵行,莘庄,品家都市星城,121.3966582,31.10902466
1327,闵行,古美,平南三四村,121.3967528,31.15804944
2557,闵行,古美,平阳新村四街坊,121.3967875,31.13951695
1160,宝山,上大,锦秋花园,121.3967971,31.33037189
1951,普陀,长风,梅川四街坊,121.3968859,31.25170448
1503,长宁,虹桥,锦苑公寓,121.3969177,31.20509799
854,闵行,莘庄,奥塞花园,121.397058,31.10425887
2041,普陀,光新,香溢天地官邸,121.3971614,31.23954315
1518,长宁,古北,东湖小区,121.3972074,31.20357758
2027,闵行,莘庄,东苑利景花苑,121.3972275,31.11792053
1386,宝山,顾村,世纪非凡锦城,121.3973993,31.3611085
2057,长宁,虹桥,虹日小区,121.397445,31.2072029
806,长宁,天山,怡乐公寓,121.3975433,31.21785241
2198,普陀,真光,上海家园,121.397654,31.2641359
2146,闵行,莘庄,春申城四季苑,121.3976692,31.10639263
1899,闵行,金虹桥,上虹新村,121.3976739,31.17888171
1096,普陀,真如,海棠苑,121.397701,31.25397587
680,长宁,天山,天山河畔花园,121.3977016,31.22161228
2997,闵行,莘庄,名都新城（一、二期）,121.397783,31.11345786
2916,闵行,莘庄,名都新城（三期）,121.3978329,31.11325984
1285,闵行,颛桥,好世凤凰城,121.3979846,31.09902182
2561,闵行,古美,万源城御璄,121.3980404,31.15463515
2270,长宁,仙霞,仙逸小区,121.3982038,31.21299338
1377,宝山,顾村,世纪非凡怡园,121.3982819,31.35891339
2581,普陀,长风,中天SOHO,121.398412,31.24213085
2786,普陀,桃浦,杨桥第一小区,121.3984713,31.27302917
615,宝山,顾村,宝顾佳苑,121.3985423,31.36525935
1800,闵行,莘庄,春申五村,121.398764,31.10404737
810,普陀,长风,梅川二街坊,121.3988173,31.24737412
3028,闵行,古美,万源城御溪(别墅),121.3988689,31.1515501
2750,长宁,古北,广场大厦,121.3989206,31.19967985
1868,普陀,桃浦,桃浦西路443弄,121.3989928,31.27836707
1830,长宁,仙霞,茅台花苑,121.3989971,31.2166916
199,宝山,顾村,丰水宝邸(西苑),121.399081,31.36214887
2079,长宁,古北,华园,121.399147,31.19888987
3010,长宁,仙霞,虹城公寓,121.399156,31.21060454
2427,长宁,天山,天山路475弄,121.3993118,31.21873472
2277,长宁,仙霞,虹景小区,121.3994729,31.20997604
155,闵行,金虹桥,金虹桥东苑怡和园,121.3997709,31.18390794
1532,长宁,天山,安龙大楼,121.3997849,31.21759083
1852,宝山,大场镇,上海朗悦酒店公寓,121.39991,31.22658418
49,闵行,金虹桥,荣信虹桥世嘉,121.3999535,31.17964683
1021,闵行,金虹桥,虹梅路2986弄,121.4000037,31.18759402
2285,闵行,金虹桥,虹兴苑,121.400038,31.1813947
1964,普陀,万里,杨家桥小区(普陀),121.400231,31.27200285
1129,闵行,莘庄,莘城公寓,121.400286,31.11271485
665,长宁,仙霞,茅台新苑,121.4004043,31.21508336
1521,闵行,金虹桥,名都城(公寓),121.4004149,31.19631201
1793,普陀,真如,星河世纪城,121.4006143,31.2651015
2443,闵行,颛桥,鑫都城柳岸人家,121.4007808,31.05878773
1349,闵行,颛桥,银都新村(1至7区),121.4008129,31.09998487
1585,长宁,仙霞,杜家宅小区,121.4008329,31.21654939
1036,闵行,古美,古美西路420弄,121.4008389,31.13939023
1068,长宁,天山,仁恒河滨花园,121.4008627,31.22118241
118,闵行,莘庄,柏林春天（二期）,121.4008861,31.10618408
1497,长宁,古北,维多利亚(公寓),121.400929,31.20151375
558,普陀,长风,华师大三村,121.400929,31.23613213
12,普陀,真如,星河世纪广场,121.4010938,31.26585905
730,宝山,顾村,中铁青秀城西区,121.4011617,31.36637738
3084,徐汇,漕河泾,虹六小区,121.401365,31.18314872
708,长宁,古北,巴黎花园,121.4014181,31.20080912
1705,普陀,长风,北岸长风,121.401512,31.22705586
1337,长宁,天山,天华公寓,121.401578,31.21753532
3050,闵行,古美,莲浦花苑,121.4016447,31.13274609
2108,长宁,古北,鹿特丹花园,121.4017163,31.1998505
822,普陀,长风,梅川一街坊,121.401724,31.24630946
3021,浦东,梅园,梅园一街坊,121.401724,31.24630946
973,徐汇,漕河泾,航天新苑,121.4017842,31.17833177
1619,闵行,莘庄,柏林春天（一期）,121.4018121,31.10870883
3182,宝山,大华,大华碧云天,121.401857,31.29745158
286,宝山,顾村,丰水宝邸(东苑),121.4019792,31.36287541
1780,普陀,真如,真西新村第二小区,121.4021318,31.25289308
2968,普陀,长风,建华大厦,121.402179,31.23468587
1430,长宁,古北,四季晶园,121.402248,31.1983409
2872,闵行,金虹桥,古北壹号,121.4025103,31.19243243
412,长宁,仙霞,芙蓉小区,121.4026838,31.213594
878,普陀,真如,真北二街坊,121.4027328,31.26434024
2668,闵行,老闵行,红旗三村,121.4028815,31.01736227
21,长宁,古北,马赛花园,121.402917,31.20116287
2674,闵行,古美,同济融创玫瑰公馆,121.403316,31.165615
860,闵行,颛桥,颛溪五村,121.4033369,31.07109644
921,普陀,光新,石泉路1号,121.4035693,31.25497337
972,普陀,武宁,武宁路74弄,121.4035693,31.25497337
1048,普陀,光新,光新大楼,121.4035693,31.25497337
1734,普陀,真如,桃浦路191弄,121.4035693,31.25497337
552,普陀,万里,万里晶品苑,121.4036226,31.27430185
292,长宁,天山,新天地河滨花园,121.4037485,31.22295815
1191,嘉定,安亭,新虹桥时代公馆,121.4037915,31.21912622
1305,青浦,华新,虹桥金茂悦,121.4037915,31.21912622
1338,青浦,华新,虹桥宝龙城,121.4037915,31.21912622
2466,长宁,古北,雅典花苑,121.4039016,31.19951861
205,闵行,莘庄,莘松三村,121.4039047,31.10161827
928,闵行,老闵行,红旗四街坊,121.4039612,31.02013243
2753,宝山,上大,经纬学府涵青花园(二期),121.4041047,31.33689444
1528,闵行,古美,万源城尚郡,121.4042161,31.14984061
742,普陀,长风,长风二村风荷园,121.4042373,31.23913328
1262,普陀,长风,长风四村,121.4042721,31.23620562
1409,闵行,颛桥,鑫峰苑,121.4042786,31.05993355
956,普陀,桃浦,祥和星宇花园(一期),121.4044215,31.28668577
580,普陀,长风,梅北小区,121.404559,31.24683307
1051,长宁,古北,上城Uptown,121.4046111,31.1980578
2503,闵行,莘庄,春申玫瑰苑,121.4046939,31.11253749
1582,闵行,颛桥,贵峰苑,121.4047751,31.08769562
962,宝山,顾村,中铁青秀城东区,121.404871,31.367379
195,闵行,古美,同济华城,121.4049427,31.16513498
1740,长宁,天山,古南小区,121.4050804,31.22120163
3044,闵行,颛桥,颛桥,121.4051956,31.0737188
2573,闵行,颛桥,龙盛国际商业广场(商业类),121.4053392,31.09106519
780,闵行,梅陇,上海阳城,121.4053529,31.12685126
2597,宝山,大华,中环一号五期（欧泊花郡）,121.4055097,31.29527882
1559,闵行,春申,常兴家园,121.4056458,31.1179693
2819,普陀,真如,真如西村,121.4058069,31.25231162
681,闵行,颛桥,金都花好悦园,121.4058509,31.09761804
95,普陀,真如,真北新村三街坊,121.4060432,31.26163647
1334,普陀,真如,水塘小区,121.406102,31.25521292
2958,普陀,真如,嘉发公寓,121.4063068,31.26579778
1496,长宁,古北,御翠豪庭,121.406373,31.20228
1567,闵行,古美,南方新村,121.406388,31.14181789
1324,闵行,金虹桥,名都古北,121.4066448,31.19363261
2437,闵行,莘庄,新申花城茉莉苑,121.4066852,31.11242562
1028,长宁,古北,民航古北公寓,121.4069056,31.20369704
2110,普陀,长风,长风三村,121.4069133,31.2361038
296,长宁,中山公园,新风小区,121.406941,31.21972387
3152,闵行,金虹桥,翡翠名都,121.406959,31.19019884
1777,闵行,梅陇,梅香苑西苑,121.4070455,31.11873306
918,普陀,长风,宋家滩小区,121.4071725,31.22752299
2714,闵行,梅陇,罗阳七村(华宝小区),121.4072203,31.12769076
210,宝山,顾村,大华锦绣四季,121.4073188,31.36565433
1730,普陀,万里,愉景华庭,121.4073867,31.27677432
2508,闵行,古美,中友嘉园,121.407414,31.16592114
885,普陀,曹杨,曹杨三村(兰岭园),121.4074162,31.24850794
2898,宝山,共富,大唐花园,121.4074534,31.3494325
309,普陀,万里,大华颐和华城(公寓),121.4077184,31.28039734
251,闵行,老闵行,凤庆小区,121.4078723,31.021261
1371,闵行,颛桥,众众德尚世嘉,121.4080922,31.07945273
1985,闵行,老闵行,康乐花园(闵行),121.4083089,31.01254962
2788,宝山,大场镇,上大阳光乾和园,121.4084083,31.30829675
2822,宝山,大华,中环一号二期（琉樽尚品）,121.4086452,31.29487799
434,浦东,金杨,金杨新村五街坊,121.4086477,30.88438775
1226,浦东,御桥,康桥阳光大厦,121.4086477,30.88438775
1412,浦东,联洋,天安花园,121.4086477,30.88438775
1524,浦东,花木,浦东世纪花园(公寓),121.4086477,30.88438775
1955,长宁,古北,古北国际花园,121.40878,31.20190302
1855,闵行,颛桥,兴银花园,121.4088419,31.08653066
1487,闵行,古美,古美八村,121.4088808,31.14548091
923,普陀,真如,天汇广场,121.4089651,31.26170986
2058,普陀,真如,车站新村(普陀),121.40905,31.25353859
1732,长宁,中山公园,天山四村,121.4090795,31.2184604
550,长宁,中山公园,天山商厦,121.409171,31.21658483
2351,闵行,古美,望族新城,121.4093149,31.15224691
2374,闵行,古美,古美四村,121.4096215,31.14722949
3132,普陀,长风,长风一村小区,121.4097798,31.23746344
123,长宁,中山公园,民生里,121.4098814,31.22175109
263,闵行,老闵行,红旗花苑,121.4098869,31.01605028
2556,长宁,中山公园,春天花园,121.409956,31.2230179
1773,宝山,上大,经纬城市绿洲,121.4100775,31.33685258
2926,长宁,虹桥,娄山关路440弄,121.4101743,31.21259745
760,闵行,莘庄,万科假日风景(公寓),121.410183,31.11077795
916,长宁,中山公园,玉屏南路520弄,121.4102677,31.22061079
2321,长宁,虹桥,太阳广场,121.410272,31.21120186
2462,普陀,曹杨,曹杨四村(枣阳园),121.4103756,31.24318637
649,长宁,中山公园,锦屏小区,121.4103815,31.22096593
574,闵行,梅陇,未名园,121.410484,31.12635388
1365,闵行,春申,高兴花园二三四街坊,121.4106425,31.11905195
1120,长宁,古北,古北瑞仕花园,121.4107196,31.20145769
2716,宝山,大华,中环一号(一期),121.4107677,31.29867109
1702,宝山,上大,经纬阳光水岸家园(一期),121.410991,31.33303149
2540,长宁,虹桥,仙霞路133弄,121.4111469,31.2118291
1902,普陀,万里,万里真欣园,121.4111584,31.27424236
327,宝山,大华,康泰新城,121.411184,31.28847184
828,松江,新桥,莘松绿嘉园,121.4113452,31.11225565
524,闵行,颛桥,金铭文博水景(公寓),121.4114306,31.07262264
1974,闵行,颛桥,金铭文博水景(别墅),121.4114306,31.07262264
1440,普陀,真如,曹杨八村,121.411547,31.25292889
1402,闵行,金虹桥,东方明珠小区,121.4115666,31.19628815
1264,闵行,古美,蔚蓝城市花园,121.4116814,31.15614809
1016,普陀,曹杨,曹杨四村(桐柏园),121.4116865,31.24053054
1364,普陀,曹杨,曹杨九村,121.4117893,31.23840014
1831,闵行,春申,都市宜家苑,121.4117981,31.1128757
767,宝山,上大,经纬学士逸居家园(五期),121.4118281,31.33114048
1050,闵行,梅陇,盛源花园,121.411969,31.12928234
1426,宝山,顾村,泰和新城(泰和西路3463弄),121.4120404,31.35716552
2358,闵行,颛桥,金盛国际家居,121.4121324,31.10270814
1677,普陀,曹杨,曹杨五村(南杨园),121.412473,31.23884783
2667,长宁,古北,古北国际广场,121.4125153,31.19979058
480,闵行,金虹桥,恒盛苑,121.4126731,31.19718495
1765,宝山,大场镇,和泰苑,121.4127615,31.33883708
1232,宝山,大场镇,乾溪二村,121.4128509,31.31268536
811,普陀,万里,万里真金苑,121.4128762,31.27357601
1291,长宁,中山公园,虹桥天都国际,121.4128867,31.21638571
881,长宁,中山公园,天山三村,121.413273,31.21930897
1443,闵行,老闵行,电机一二村,121.413288,31.00976598
13,长宁,虹桥,锦明大厦,121.4132888,31.20983126
1193,长宁,中山公园,天山二村,121.4133332,31.21371128
10,宝山,顾村,新天地荻泾花园,121.4135342,31.35553796
1980,宝山,顾村,金地天地云墅,121.4135342,31.35553796
2486,宝山,顾村,馨祥佳苑,121.4135342,31.35553796
952,宝山,上大,上大阳光乾静园,121.4136395,31.31789667
3104,宝山,顾村,新顾村大家园A区,121.413733,31.36456343
2159,闵行,颛桥,金榜家园,121.4138316,31.04516203
2157,闵行,金虹桥,古北虹苑（二期）,121.4138718,31.19572148
161,长宁,中山公园,天义小区,121.4139247,31.2177444
2692,普陀,曹杨,曹杨四村(兰花大楼),121.4139813,31.24361297
699,长宁,虹桥,金桥大厦,121.4140655,31.20943917
526,普陀,真如,高尚领域,121.414118,31.26087249
1296,长宁,中山公园,长宁路1600弄,121.414308,31.22441926
792,长宁,中山公园,益健小区,121.4143322,31.22567423
1485,宝山,顾村,新顾村大家园B区,121.414386,31.36213792
1221,宝山,大华,枫庭丽苑,121.414399,31.28387487
1502,长宁,中山公园,玉屏南路207号,121.4144227,31.21922312
958,闵行,梅陇,罗阳三村,121.4144581,31.12903234
832,闵行,春申,高兴花园一街坊,121.4144981,31.11961932
1433,闵行,梅陇,望族苑,121.4146356,31.13457675
914,长宁,虹桥,伊犁小区,121.41472,31.20719888
257,长宁,中山公园,遵义路757弄,121.4147934,31.22129849
1859,闵行,老闵行,丽都城假日景苑,121.4149024,31.01905104
2094,长宁,虹桥,中华别墅,121.4149026,31.20509197
1043,长宁,虹桥,联建新村(长宁),121.4149965,31.21149935
2252,长宁,中山公园,长宁路1488弄,121.4150176,31.22411818
2869,闵行,古美,古美七村,121.4150262,31.15000665
897,长宁,古北,古北嘉年华庭,121.4151248,31.20001112
1491,闵行,春申,上海春城,121.4151411,31.1106035
2910,普陀,曹杨,曹杨五村(梅花园),121.4154445,31.24274101
1670,宝山,大华,大华公园世家康华苑,121.4155169,31.28683583
1966,普陀,万里,中鹰黑森林,121.4155348,31.27739876
1552,闵行,颛桥,金塔新村,121.415634,31.04450225
1983,普陀,曹杨,花溪园,121.4156652,31.24446956
1228,宝山,大华,梧桐城邦(二期),121.4157254,31.29542138
932,闵行,梅陇,罗阳四村,121.4158269,31.12645744
1282,宝山,大华,玉华苑,121.4158659,31.29068596
808,徐汇,漕河泾,华悦家园,121.4160135,31.17142806
2378,长宁,虹桥,爱建小区,121.4160844,31.20560511
2797,普陀,曹杨,北枫桥园,121.4162594,31.2473955
2628,浦东,川沙,新建路1-81号,121.4162788,31.04941764
2536,普陀,真如,颐宁苑,121.4163266,31.25234157
631,闵行,金虹桥,海叶公寓,121.4163782,31.19429583
970,宝山,大场镇,绿地即客LOFT,121.416606,31.31997397
2344,长宁,虹桥,紫云大厦,121.4167114,31.21240396
1190,闵行,颛桥,上海星河湾,121.416733,31.09505588
1465,宝山,大场镇,乾溪新村,121.4168688,31.3094332
1815,宝山,月浦,阳光美林,121.4168789,31.43225102
338,宝山,顾村,盛宅新村,121.4169197,31.3586917
1917,长宁,中山公园,科宁公寓,121.4169865,31.22244576
1019,长宁,虹桥,虹桥小区,121.416997,31.20487445
1020,长宁,中山公园,中山西路424弄,121.4170134,31.22070946
171,闵行,梅陇,梅陇二村,121.4170555,31.14070475
820,普陀,长风,华师大一村,121.417136,31.23210699
1150,长宁,虹桥,中紫小区,121.4171578,31.21309314
2951,闵行,金虹桥,古北首席,121.4171825,31.19015127
1915,宝山,顾村,自然居家园,121.4171901,31.36078658
1784,闵行,颛桥,君莲闵都雅苑,121.4172154,31.08373725
1280,普陀,武宁,曹家巷小区,121.4172726,31.23443623
1224,徐汇,康健,万象园,121.4173405,31.16808262
2232,闵行,春申,春申景城湖滨晨韵,121.4175989,31.11366647
1634,闵行,梅陇,紫藤二村,121.4176137,31.13689442
1343,闵行,梅陇,罗阳一村,121.417717,31.12927585
3061,普陀,武宁,中山北路3924弄,121.4179021,31.23192419
2606,宝山,大华,大华虎城第三空间,121.4181452,31.27756218
2906,普陀,万里,香泉小区,121.4181623,31.26980611
1894,长宁,中山公园,联业大楼,121.4182117,31.21519987
1661,闵行,颛桥,都市雅筑,121.4182367,31.06264285
3030,宝山,顾村,新顾村大家园C区,121.418377,31.36692991
2288,闵行,梅陇,罗阳二村,121.4184679,31.12657429
37,长宁,虹桥,虹储小区,121.4184943,31.20480789
1650,徐汇,康健,天悦,121.4185498,31.16867712
1972,长宁,虹桥,安顺小区,121.4186289,31.20617786
3139,长宁,中山公园,碧云公寓,121.418668,31.22058138
7,长宁,中山公园,大家源新城,121.4188053,31.22773814
2858,长宁,中山公园,中山公寓,121.4188791,31.22254187
1746,闵行,老闵行,金榜雅苑,121.419031,31.02840187
1460,宝山,大华,梧桐城邦三期,121.4190581,31.29846119
2272,宝山,大华,梧桐城邦(一期),121.4190928,31.29540981
2265,普陀,曹杨,曹杨君悦苑,121.419168,31.2456609
254,闵行,春申,春申景城湖畔林语,121.4192872,31.11084102
2940,徐汇,康健,杜鹃园,121.419365,31.16146083
2221,宝山,月浦,沈巷新村,121.4194763,31.42503059
1276,闵行,颛桥,天恒名城,121.4195551,31.07371091
2806,闵行,颛桥,天籁园,121.4195551,31.07371091
1728,普陀,万里,中环家园,121.4196365,31.27167546
2038,长宁,虹桥,虹一小区,121.4197151,31.20430884
2316,长宁,中山公园,宁康小区,121.4197702,31.22681068
2033,长宁,虹桥,虹桥路1031号,121.419828,31.20339767
2779,普陀,真如,中海臻如府,121.4198777,31.2567602
935,普陀,武宁,大华清水湾,121.42003,31.23326073
1038,宝山,大华,滨江雅苑,121.42012,31.2838869
422,闵行,春申,春馨苑,121.4201957,31.11973224
2459,长宁,中山公园,虹桥向日葵公寓,121.4203759,31.21779759
597,徐汇,康健,花苑村紫竹园,121.4204637,31.15907601
1252,长宁,中山公园,友联大楼,121.4204778,31.21857282
2570,宝山,顾村,新顾村大家园D区,121.420487,31.36463666
608,普陀,曹杨,曹杨六村(兰溪园),121.420599,31.24478185
2061,宝山,顾村,成亿宝盛家苑,121.4206152,31.36155399
2210,普陀,武宁,华府樟园,121.4208266,31.2308545
912,徐汇,漕河泾,鑫耀中城,121.4209004,31.17329512
1342,长宁,古北,领尚国际酒店公寓,121.4209128,31.19820352
1442,长宁,中山公园,三泾北宅小区,121.4209928,31.22091659
1490,普陀,武宁,康泰公寓,121.421033,31.23587017
1065,宝山,大华,好旺花苑,121.4211104,31.29238285
2791,长宁,中山公园,凯旋路10弄,121.421126,31.22897987
1116,长宁,中山公园,范东铁路小区,121.421159,31.22539886
1429,长宁,虹桥,虹东小区,121.4211815,31.20297611
248,闵行,春申,中海寰宇天下,121.4212143,31.10686832
1674,闵行,老闵行,新华小区,121.421232,31.01389583
453,闵行,春申,莲花新村,121.421349,31.11833897
1714,闵行,梅陇,中梅苑,121.4213633,31.13548758
2202,宝山,大华,北华苑,121.4215709,31.28718377
3140,徐汇,康健,长兴坊,121.4215772,31.1630601
707,长宁,新华路,虹桥府邸,121.4216046,31.20561836
1029,普陀,武宁,达丰新村,121.4216296,31.24108196
1362,普陀,武宁,白玉新村,121.4216995,31.23902359
1958,徐汇,康健,长丰坊,121.4221135,31.15992279
1717,宝山,顾村,天极盛宅花园,121.4221164,31.35878704
3019,普陀,武宁,普陀四村,121.4221579,31.24175349
2045,长宁,中山公园,武夷花园,121.422169,31.21819667
2588,长宁,新华路,纺大小区,121.4223111,31.20736057
442,徐汇,田林,锦馨苑,121.4223289,31.19610644
3091,普陀,武宁,中海汇德里,121.422357,31.23735383
262,长宁,中山公园,三泾南宅,121.4225302,31.21965716
1861,徐汇,田林,怡桂苑,121.4225302,31.18225171
1450,闵行,老闵行,鹤明小区,121.4226155,31.01361457
2060,闵行,颛桥,万顺水原墅,121.422636,31.04874187
2207,徐汇,康健,花苑村桂花园,121.4227428,31.15418265
825,普陀,万里,中浩云花园,121.4228271,31.26834139
367,普陀,武宁,南光大楼,121.42294,31.24042703
595,长宁,中山公园,华苑小区,121.422986,31.23023161
401,普陀,武宁,光复西路南林家港小区,121.4232311,31.23707201
97,宝山,大华,大华二村,121.423285,31.27725185
898,长宁,中山公园,新时空国际商务广场,121.4234141,31.2230704
761,徐汇,康健,长虹坊,121.4234436,31.16270969
2151,普陀,万里,中环花苑,121.4234568,31.27080013
1504,长宁,新华路,中华小区,121.4235491,31.20513432
177,闵行,老闵行,禹洲府,121.4235597,31.01402334
260,闵行,老闵行,臻澜苑,121.4235597,31.01402334
784,闵行,老闵行,万科公园大道,121.4235597,31.01402334
833,闵行,老闵行,夏朵园,121.4235597,31.01402334
2841,闵行,老闵行,马桥景城,121.4235597,31.01402334
2324,普陀,真如,申兴华庭,121.423607,31.25583989
1543,宝山,大华,嘉华苑(宝山),121.4237282,31.2730784
1720,长宁,中山公园,汇川路10弄,121.423821,31.22153191
344,徐汇,康健,长青坊,121.4240565,31.16047423
2425,长宁,中山公园,文汇小区(长宁),121.424061,31.2279194
209,普陀,武宁,绿地世纪城(三期),121.4241746,31.23936307
1810,闵行,颛桥,君莲新城广润苑,121.4243053,31.09143802
329,长宁,中山公园,凯欣豪园,121.4243311,31.22267026
2134,长宁,中山公园,兆丰嘉园,121.4244523,31.22610068
1139,长宁,古北,虹南小区,121.424651,31.19753585
1969,宝山,大华,大华三村二街坊,121.4246564,31.29012974
1841,长宁,中山公园,花园大厦,121.4246608,31.22500274
556,普陀,武宁,中联大厦,121.424737,31.24434684
2308,宝山,共富,融创玉兰公馆,121.424779,31.3492679
2935,长宁,新华路,安东小区,121.4248636,31.20663614
1909,长宁,古北,虹欣小区,121.4249106,31.19851364
132,长宁,新华路,长顺路20号,121.4250053,31.2039439
1826,长宁,中山公园,天山路1761弄1支弄,121.4250625,31.22385415
2742,长宁,新华路,新华世纪园,121.4250747,31.21265721
2357,长宁,新华路,虹南大楼,121.4250821,31.20139584
355,徐汇,田林,田林一村,121.4251182,31.17578448
79,闵行,老闵行,鹤北新村,121.4252893,31.01735082
661,长宁,中山公园,悦达花苑,121.425297,31.2195419
134,长宁,中山公园,华阳路298弄,121.4253427,31.2282688
1114,普陀,武宁,绿地海珀玉晖,121.42542,31.23401622
1311,长宁,中山公园,路易凯旋宫,121.4254362,31.22099009
2256,徐汇,康健,长海坊,121.4254817,31.16329734
2840,徐汇,康健,长顺坊,121.4256344,31.16140884
2317,徐汇,康健,桂康小区,121.4256511,31.17181563
1520,长宁,中山公园,兆丰花园,121.4256766,31.22363621
2780,长宁,新华路,法华镇路878弄,121.42573,31.21341989
448,徐汇,田林,田林五六七村,121.4259194,31.17967548
892,长宁,新华路,知音小区,121.4259761,31.21201134
1319,徐汇,华东理工,梅陇六村,121.4260039,31.13860986
2647,宝山,杨行,招商海德名门,121.4260188,31.3970084
2776,宝山,共康,共康雅苑三期,121.426047,31.34048745
1199,长宁,新华路,敬老邨,121.4261762,31.21123513
