行政区,街区,小区,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量
杨浦,周家嘴路,中轩丽苑,121.5602204,31.28451823,217,127,1,100,1,2
杨浦,鞍山,鞍山路215弄,121.5158209,31.28451414,487,216,4,73,2,7
虹口,凉城,广中五村,121.4837497,31.28448004,566,171,3,84,2,6
虹口,凉城,广中路368弄,121.4780236,31.28441454,287,137,2,81,1,4
静安,阳城,景峰苑,121.4355992,31.28435398,747,206,3,71,3,1
杨浦,周家嘴路,友谊新村,121.541926,31.284143,670,240,3,97,7,3
静安,大宁,上大东村,121.4664832,31.28409864,796,98,3,87,3,10
杨浦,控江路,凤城二村,121.524323,31.284046,427,142,3,76,2,8
普陀,桃浦,恒盛鼎城圣都汇,121.3940779,31.28398342,519,258,0,106,1,2
杨浦,鞍山,鞍山三村,121.5194287,31.28394199,632,160,4,71,2,8
宝山,大华,滨江雅苑,121.42012,31.2838869,1001,223,6,94,3,1
普陀,桃浦,桃浦二村永汇新苑,121.358531,31.28388289,470,167,2,90,0,0
宝山,大华,枫庭丽苑,121.414399,31.28387487,1001,198,3,85,2,1
杨浦,鞍山,抚顺路363弄,121.5174424,31.28382981,553,83,4,64,2,9
杨浦,鞍山,鞍山四村第二小区,121.5145112,31.28362837,527,278,4,78,4,7
虹口,曲阳,西南小区,121.494628,31.28358879,302,146,1,104,2,7
静安,大宁,共和新路2203弄,121.4592223,31.28346141,273,101,4,79,2,10
虹口,曲阳,曲阳大楼,121.497421,31.28311484,106,29,1,90,2,6
杨浦,控江路,新凤城,121.526894,31.28307,355,243,2,93,3,9
杨浦,鞍山,密云小区,121.5043665,31.2830461,452,238,2,96,3,4
静安,大宁,嘉茵苑,121.4418101,31.28284998,229,149,4,92,7,2
虹口,曲阳,玉田新村,121.5022262,31.28282089,471,201,2,95,1,5
杨浦,鞍山,公交新村,121.5125324,31.28275007,489,233,3,82,4,6
浦东,金桥,莱阳北小区,121.5894084,31.28270655,708,83,1,86,2,4
杨浦,周家嘴路,林厦小区,121.5428835,31.28245526,765,153,3,80,7,3
杨浦,控江路,凤城一村,121.525102,31.282331,229,306,3,96,2,8
杨浦,周家嘴路,六达苑,121.5379653,31.28224579,399,110,2,75,7,4
杨浦,鞍山,鞍山四村第一小区,121.5166083,31.28222859,364,119,5,61,4,9
虹口,凉城,春满园,121.4737654,31.28221115,464,187,1,79,3,3
杨浦,鞍山,大连西路4弄,121.5157491,31.28212553,353,187,5,76,4,9
嘉定,安亭,安亭瑞仕锦庭,121.1928038,31.28204713,1001,399,0,56,0,0
杨浦,周家嘴路,辽阳大楼,121.520788,31.26971,652,64,3,96,2,7
杨浦,周家嘴路,杨家宅小区,121.551082,31.27363,858,177,3,84,2,4
浦东,金桥,丽都成品,121.5960204,31.28186805,451,152,1,88,2,2
虹口,曲阳,大连西路29号,121.5045079,31.28185378,372,168,2,93,3,4
浦东,金桥,东陆新村七街坊,121.6069235,31.281853,500,108,1,101,2,0
虹口,曲阳,大连西路27号,121.5046473,31.28184437,359,155,2,92,3,4
虹口,凉城,北宝兴路345弄,121.4703445,31.28169554,701,142,1,87,3,4
杨浦,周家嘴路,金龙公寓(杨浦),121.5656914,31.28161075,636,122,1,115,1,1
虹口,鲁迅公园,商业一村,121.4826949,31.2815795,488,167,3,74,2,6
杨浦,鞍山,本溪路149弄,121.5222404,31.28157322,308,141,5,81,2,8
静安,阳城,龙潭小区,121.432372,31.28134387,302,287,4,86,2,2
杨浦,鞍山,控江小区,121.5190604,31.28127706,374,162,5,75,2,9
杨浦,周家嘴路,幸福村小区,121.541227,31.28127,712,357,3,78,7,4
杨浦,鞍山,鞍山四村第三小区,121.5144029,31.28119628,300,176,5,74,4,7
虹口,曲阳,密二小区,121.5048747,31.28113339,313,143,2,96,3,4
杨浦,鞍山,凤凰大楼,121.5203619,31.28109837,460,56,5,72,1,9
静安,大宁,上工新村,121.4601551,31.28106187,393,163,3,81,4,10
杨浦,鞍山,鞍山五村,121.5123577,31.28088133,407,315,5,87,4,6
虹口,曲阳,蒋家桥小区,121.5036895,31.28082462,420,260,2,97,3,4
虹口,鲁迅公园,欧九小区,121.4936417,31.28066953,387,78,2,77,2,5
普陀,万里,大华颐和华城(公寓),121.4077184,31.28039734,871,211,0,93,1,0
静安,大宁,绿色丽园,121.4543635,31.280257,588,112,3,69,6,11
杨浦,东外滩,渭南苑,121.541614,31.269616,602,123,2,94,1,9
杨浦,东外滩,许昌路227弄,121.531209,31.259922,616,97,2,98,1,1
杨浦,东外滩,海鹏花苑,121.535583,31.2614,272,196,1,102,1,6
杨浦,周家嘴路,东外滩1号,121.56179,31.28025,714,258,1,106,1,2
杨浦,鞍山,鞍山六村,121.5117734,31.27971545,360,207,5,79,3,6
宝山,大华,大华一村,121.4282834,31.2797102,130,128,7,95,2,1
虹口,曲阳,密云路250弄,121.5035575,31.27965226,441,266,2,98,3,4
虹口,临平路,仪表大楼,121.5075067,31.27961939,113,165,2,85,3,3
杨浦,周家嘴路,汽车公寓小区,121.5257131,31.27953537,99,28,3,102,3,8
虹口,鲁迅公园,东体育会路119弄,121.4898927,31.27953506,242,182,3,82,2,7
静安,闸北公园,嘉利明珠城,121.470287,31.27945991,833,160,1,90,3,9
虹口,凉城,同心路971号,121.475905,31.279324,748,274,2,79,3,3
虹口,凉城,同心路957号,121.4761954,31.2792897,753,252,2,79,3,3
虹口,鲁迅公园,何家宅小区,121.4831702,31.2792323,400,256,1,59,2,6
嘉定,安亭,万科西郊都会,121.201333,31.279108,1001,128,0,52,0,0
杨浦,鞍山,海上国际,121.5167594,31.27909466,55,108,6,81,4,8
虹口,曲阳,大二小区,121.4990731,31.27906541,381,195,1,74,3,3
虹口,曲阳,祥东小区(虹口),121.50165,31.278915,532,314,2,75,3,4
静安,大宁,佳宁花园,121.442437,31.27883788,406,122,1,82,9,4
静安,闸北公园,延平小区,121.4678078,31.27882253,588,85,3,96,3,12
静安,大宁,世纪花苑,121.4398589,31.27871999,508,133,3,85,8,5
浦东,金桥,中大丽都,121.595529,31.278535,110,315,1,81,2,3
杨浦,周家嘴路,浦罡小区,121.5426624,31.27849253,567,196,5,87,8,2
普陀,桃浦,桃浦西路443弄,121.3989928,31.27836707,337,246,0,106,1,2
嘉定,江桥,云封公寓,121.3053376,31.27829493,543,81,1,99,0,0
虹口,鲁迅公园,欧阳花苑,121.4970105,31.27821809,438,188,1,76,2,5
虹口,鲁迅公园,中山北一路140弄,121.4838186,31.27789812,250,107,2,74,2,7
静安,大宁,歌林春天馨园,121.448598,31.27777389,651,183,2,78,9,2
虹口,临平路,虹口典范,121.5070825,31.27773763,322,132,5,86,3,14
嘉定,江桥,龙湖天璞雅筑,121.331509,31.27766186,1001,335,0,78,0,1
宝山,大华,大华虎城第三空间,121.4181452,31.27756218,1001,174,5,91,2,1
普陀,万里,中鹰黑森林,121.4155348,31.27739876,1001,270,4,91,2,1
静安,闸北公园,延新小区,121.4635823,31.27738765,181,143,4,93,2,11
静安,大宁,大宁龙盛雅苑,121.4532044,31.27735316,811,88,2,81,7,11
宝山,大华,大华二村,121.423285,31.27725185,674,162,5,98,2,1
杨浦,周家嘴路,腾越路465弄,121.5569379,31.2771581,744,288,3,76,2,2
浦东,金桥,沪东新村,121.5887736,31.27715787,556,286,2,79,1,3
嘉定,江桥,天禧嘉苑二期,121.3176875,31.27699407,643,152,1,113,0,0
杨浦,周家嘴路,农房万丰公寓,121.5481776,31.27687856,557,273,5,83,2,2
杨浦,周家嘴路,平凉路1975弄小区,121.5523723,31.27679662,526,81,4,91,2,2
普陀,万里,愉景华庭,121.4073867,31.27677432,796,157,1,90,0,0
静安,大宁,延长中路451弄,121.4579196,31.27676553,379,74,3,72,5,10
杨浦,周家嘴路,珠江香樟南园,121.5505387,31.27675287,511,179,4,88,2,2
虹口,临平路,金轩大邸,121.5055497,31.27650728,506,143,5,75,3,3
静安,闸北公园,北宝兴路10弄,121.474042,31.27649563,799,134,1,87,2,3
杨浦,鞍山,双辽支路70弄,121.5234481,31.2764633,450,130,3,94,2,9
虹口,临平路,安得公寓,121.5039248,31.2764285,385,67,2,82,3,3
静安,大宁,建银曙光小区,121.4566509,31.27625146,512,194,3,72,6,5
杨浦,周家嘴路,张家浜小区,121.524952,31.276141,458,211,3,101,2,10
嘉定,江桥,嘉海雅苑,121.3255291,31.27607273,668,111,0,108,0,1
嘉定,江桥,匡巷二村,121.3313375,31.27592821,933,293,0,104,0,1
静安,大宁,延铁小区,121.4582912,31.27587404,390,83,3,75,2,10
嘉定,江桥,MAX未来,121.342207,31.27585784,853,300,0,108,2,1
静安,大宁,延长小区(闸北),121.462259,31.275796,227,110,4,82,2,11
虹口,凉城,同心城,121.4797798,31.27557359,584,157,1,91,1,8
嘉定,江桥,天禧嘉苑,121.3187452,31.27557089,460,94,1,114,0,1
宝山,大华,久华佳苑,121.426613,31.27551788,572,196,7,100,1,3
虹口,凉城,西宝兴路949弄,121.4753663,31.27543385,673,64,1,84,2,4
杨浦,周家嘴路,阳明新城,121.527805,31.275399,577,155,2,105,2,10
嘉定,江桥,丽江佳苑,121.344238,31.2753219,926,189,1,106,2,1
普陀,甘泉宜川,南泉苑,121.4302508,31.27516048,480,224,6,94,1,5
杨浦,周家嘴路,明月坊,121.5452953,31.27515755,610,254,3,71,1,3
杨浦,鞍山,恒阳花苑,121.5152082,31.27509659,440,166,6,93,3,10
静安,闸北公园,洛川东路400弄,121.4671106,31.27495632,600,334,3,90,2,12
普陀,甘泉宜川,新沪小区,121.4438647,31.27487299,654,190,3,86,10,5
浦东,金桥,阳光欧洲城别墅(四期),121.613417,31.274841,360,225,3,92,1,0
嘉定,江桥,保利云上澄光,121.316134,31.2748189,526,144,1,113,0,0
静安,大宁,童家浜小区,121.4579213,31.27473302,496,214,3,71,2,10
杨浦,周家嘴路,海州路105弄,121.554699,31.274589,836,255,3,86,2,2
浦东,金桥,东二小区,121.602837,31.274353,845,146,2,84,1,2
普陀,万里,万里晶品苑,121.4036226,31.27430185,657,82,0,94,0,2
静安,大宁,锦佳苑,121.4560502,31.27426034,667,325,3,75,1,11
普陀,万里,万里真欣园,121.4111584,31.27424236,601,87,3,79,0,1
虹口,凉城,黄山坊,121.4775863,31.27413202,574,149,1,87,0,7
虹口,鲁迅公园,四达路210弄,121.4935684,31.27392948,409,110,2,65,2,7
普陀,甘泉宜川,长新小区(普陀),121.4403041,31.27383951,336,127,3,78,6,5
虹口,鲁迅公园,世博花园,121.4980797,31.2737598,267,282,3,81,2,3
静安,闸北公园,柳营路319弄,121.469736,31.273651,705,167,1,80,2,7
杨浦,周家嘴路,昆明路1268弄,121.5321172,31.27363781,391,328,0,97,2,4
普陀,甘泉宜川,悠诗阁,121.4486389,31.27362346,1001,70,1,81,9,1
普陀,万里,万里真金苑,121.4128762,31.27357601,648,115,4,85,0,1
宝山,大华,水韵华庭,121.426398,31.2735443,452,98,7,100,1,3
虹口,鲁迅公园,钧茂公寓,121.4845983,31.27354113,344,181,2,75,2,7
杨浦,周家嘴路,金鹏花园,121.533109,31.273347,422,229,0,97,2,3
普陀,甘泉宜川,延长小区(普陀),121.4473087,31.27327578,997,94,1,85,8,3
浦东,金桥,沪南船舶小区,121.5841303,31.27324754,957,118,1,98,1,4
静安,大宁,新理想家园,121.4626842,31.27320031,518,173,3,81,2,12
宝山,大华,嘉华苑(宝山),121.4237282,31.2730784,599,174,4,105,0,1
普陀,桃浦,杨桥第一小区,121.3984713,31.27302917,257,74,0,81,0,4
浦东,金桥,船舶新村,121.58355,31.273019,997,104,1,98,1,14
静安,闸北公园,黄山锦庭,121.475764,31.272929,398,98,1,87,2,6
静安,大宁,久乐苑,121.453659,31.27292045,939,89,3,80,3,10
虹口,临平路,大连小区,121.5117801,31.27280865,799,134,8,95,3,7
浦东,金桥,博一小区,121.5902351,31.27279553,457,110,2,82,1,12
静安,大宁,悠和家园,121.4587797,31.27273388,628,96,3,77,2,11
嘉定,丰庄,真建七街坊,121.3806363,31.2726845,532,187,1,95,1,0
虹口,临平路,新陆花苑,121.499917,31.272381,218,222,3,89,0,4
杨浦,周家嘴路,和瑞雅苑,121.543501,31.272183,507,262,2,78,1,9
虹口,临平路,瑞虹新城悦庭,121.5061673,31.27214776,553,96,5,57,3,3
虹口,临平路,瑞虹新城(三期),121.507485,31.272058,609,39,5,54,3,5
嘉定,江桥,中星海上名豪苑(三期),121.3363253,31.2720412,317,288,0,108,0,2
普陀,甘泉宜川,新宜小区,121.4439515,31.2720297,734,175,3,81,7,5
普陀,万里,杨家桥小区(普陀),121.400231,31.27200285,457,273,0,80,0,2
杨浦,鞍山,海上海新城(公寓),121.5160183,31.27195941,779,287,5,101,3,5
静安,大宁,永乐苑,121.4532395,31.27190671,1001,158,2,77,2,9
普陀,甘泉宜川,新村路350弄,121.4387748,31.27188086,373,205,3,84,5,5
杨浦,东外滩,馨运公寓,121.539926,31.271808,316,247,2,87,3,9
普陀,万里,中环家园,121.4196365,31.27167546,457,129,4,95,0,1
嘉定,江桥,嘉城新航域,121.357248,31.27142,838,257,3,88,1,0
静安,大宁,洛川中路901弄,121.456714,31.271326,862,164,2,82,0,10
杨浦,周家嘴路,郡江国际,121.543741,31.27128,583,161,2,78,1,9
浦东,金桥,长岛公寓,121.608301,31.271194,731,85,2,92,1,2
静安,大宁,福泰公寓,121.4627221,31.2709661,723,132,2,83,2,11
浦东,金桥,兰城小区,121.5874597,31.27096009,571,117,5,96,1,4
普陀,万里,中环花苑,121.4234568,31.27080013,534,146,4,107,0,1
普陀,甘泉宜川,甘泉一村,121.4384654,31.27070491,484,140,3,85,5,4
虹口,临平路,瑞虹新城璟庭,121.5036746,31.27066934,473,229,5,63,3,7
虹口,四川北路,虹祺花苑(公寓),121.4855623,31.27041416,458,71,5,79,2,13
普陀,甘泉宜川,合阳小区,121.4453,31.27039934,934,187,2,77,4,4
普陀,甘泉宜川,新黄小区,121.4353582,31.27033785,290,172,3,86,3,4
虹口,临平路,瑞虹新城怡庭,121.507538,31.26991,370,132,5,62,3,7
普陀,甘泉宜川,宜川四村,121.449981,31.269824,1001,147,0,80,3,2
普陀,万里,香泉小区,121.4181623,31.26980611,233,231,5,98,0,1
静安,大宁,冠华大楼,121.465679,31.26977286,535,82,2,73,2,5
虹口,北外滩,马厂路65弄,121.5115865,31.2697467,517,47,7,97,3,7
虹口,临平路,申工公寓,121.51089,31.26965688,464,111,7,93,3,6
静安,闸北公园,和玉苑,121.472746,31.26958149,236,87,1,79,1,4
静安,西藏北路,新湖青蓝国际,121.4795613,31.26953231,412,42,2,96,0,11
浦东,金桥,金桥新城,121.614337,31.269412,478,77,2,95,1,1
虹口,临平路,飞虹路381号,121.5110852,31.26924367,444,98,7,90,2,7
浦东,金桥,金桥新村四街坊,121.599726,31.269167,617,182,2,81,1,3
浦东,金杨,金杨新村四街坊,121.5997257,31.26916674,617,182,2,81,1,3
虹口,四川北路,宝虹新苑,121.4854333,31.26905278,387,182,5,85,1,12
虹口,临平路,瑞虹新城(一期),121.5026103,31.26901642,545,130,4,73,0,6
嘉定,江桥,嘉城香馥湾,121.3565559,31.26896827,587,335,3,89,1,2
普陀,甘泉宜川,黄陵小区,121.4328797,31.26881641,277,285,3,87,2,5
杨浦,东外滩,眉州路515弄,121.538305,31.268788,626,226,1,97,2,9
虹口,临平路,瑞虹新城二期(优贤生活),121.5029303,31.26876217,503,93,4,71,0,6
静安,大宁,柳营路1025弄,121.457451,31.26862682,880,168,2,85,0,2
普陀,甘泉宜川,宜川一村,121.4471234,31.26854657,850,184,1,76,3,1
普陀,万里,中浩云花园,121.4228271,31.26834139,430,150,3,101,0,2
杨浦,周家嘴路,宝地东花园,121.519596,31.26828089,480,168,4,101,1,7
普陀,甘泉宜川,章家巷小区,121.4391371,31.26827449,713,100,3,91,6,4
普陀,真光,阳光建华城（四期）（别墅）,121.3721889,31.26824053,734,145,5,89,1,0
普陀,甘泉宜川,子长小区,121.4416139,31.2681822,864,110,3,83,6,4
虹口,临平路,瑞虹新城铭庭,121.5043446,31.26817325,356,64,4,66,0,6
浦东,金杨,蝶恋园,121.577548,31.26816646,1001,179,4,105,2,2
静安,大宁,洛川中路1100弄,121.4662393,31.26807201,350,59,2,67,2,3
虹口,临平路,临平路256弄,121.502115,31.268033,506,88,4,83,0,6
静安,西藏北路,止园路446号,121.4740893,31.26797995,189,115,0,88,0,3
虹口,临平路,临平路250弄,121.5022448,31.2678328,483,68,4,79,1,6
虹口,临平路,虹叶茗园,121.5108123,31.26779869,334,137,6,77,2,8
普陀,真光,阳光威尼斯AB区,121.3785739,31.26768472,732,243,4,93,2,0
静安,西藏北路,中山北路570弄,121.4716561,31.2675425,395,141,2,92,0,4
普陀,甘泉宜川,宜川五村,121.450468,31.26748918,785,109,0,82,3,3
静安,大宁,沪太路651弄,121.455285,31.267444,1001,232,2,83,1,1
静安,西藏北路,宝昌路632弄,121.477718,31.26743285,321,109,0,95,0,12
静安,大宁,上海滩大宁城(公寓),121.460777,31.26733685,533,88,2,92,0,14
浦东,金杨,金桥路530弄,121.580728,31.267273,849,139,5,110,2,3
普陀,甘泉宜川,甘泉三村,121.432618,31.26726216,448,291,5,97,2,6
静安,西藏北路,通阁小区,121.477372,31.26726085,311,135,0,97,0,12
浦东,金杨,大桥花苑,121.5685096,31.26717692,514,185,1,93,0,2
杨浦,东外滩,华谊星城名苑,121.540982,31.26711184,766,81,1,98,0,8
杨浦,东外滩,宝立公寓,121.5333587,31.2670748,210,277,0,83,3,7
普陀,真光,清涧四街坊,121.3954941,31.267015,584,170,0,90,3,4
虹口,临平路,虹口现代公寓,121.5018085,31.26696638,473,132,4,86,1,5
普陀,真光,清涧六街坊,121.3870359,31.26689948,869,241,1,114,4,2
普陀,甘泉宜川,宜川二村,121.443969,31.26688598,743,215,1,86,4,2
浦东,金桥,金桥湾清水苑,121.601881,31.266827,875,187,1,87,1,4
浦东,金桥,金泽苑,121.6051291,31.26656211,884,128,2,93,1,2
普陀,真如,车站新村(普陀),121.408467,31.266482,257,107,2,83,2,1
普陀,真光,阳光威尼斯(二期),121.3699789,31.26646751,479,119,6,97,0,1
浦东,金桥,碧云新天地(一期),121.5979787,31.26643625,569,126,2,95,1,3
静安,西藏北路,芷江西路123弄,121.4709533,31.26642391,521,157,2,92,0,6
嘉定,江桥,嘉莲华商住酒店式公寓(商业类),121.351004,31.26641187,169,234,3,86,1,2
普陀,真光,阳光威尼斯(三期),121.3732401,31.26640276,617,215,6,97,1,0
静安,大宁,普善新苑,121.4603731,31.26632436,524,183,2,93,0,4
静安,西藏北路,长征大厦,121.4838908,31.26626085,270,56,4,91,2,13
浦东,塘桥,家化滨江苑,121.5139185,31.2662303,581,61,7,97,1,8
普陀,甘泉宜川,金原新苑,121.4331792,31.26619843,570,261,5,98,2,6
杨浦,东外滩,百兴花园,121.5396276,31.26587109,612,222,2,96,0,8
普陀,真如,星河世纪广场,121.4010948,31.26586306,678,57,1,85,2,3
普陀,真如,嘉发公寓,121.4063068,31.26579778,333,231,2,82,2,1
浦东,金桥,陈家宅小区(浦东大道),121.5686884,31.26569723,411,207,1,96,0,1
杨浦,中原,民星路414号,121.543456,31.317824,578,145,0,81,2,10
杨浦,鞍山,耀浦苑,121.520715,31.277285,468,181,4,94,2,9
杨浦,中原,国和路610弄,121.525625,31.320395,1001,67,8,90,2,2
浦东,金杨,仙都绿苑,121.5692662,31.26549127,444,184,1,95,0,3
普陀,真光,清涧七街坊,121.3922899,31.26545084,735,130,0,91,4,2
静安,不夜城,共和新路970弄,121.46784,31.265309,211,141,3,87,0,8
静安,西藏北路,芷江中路493弄,121.4754818,31.26530237,453,125,0,90,0,13
静安,西藏北路,芷江中路459弄,121.4761893,31.26521903,471,123,0,90,0,14
普陀,甘泉宜川,泾惠小区,121.4418353,31.2652073,718,249,2,93,3,3
普陀,真如,星河世纪城,121.4006461,31.26518021,752,105,1,85,2,3
浦东,金桥,连城苑,121.5916977,31.26514649,379,192,5,100,2,2
杨浦,东外滩,杭州路107弄,121.5424681,31.26507171,742,346,2,110,0,8
浦东,金桥,金海商业广场,121.6118281,31.26505049,230,45,3,100,0,1
嘉定,丰庄,金鼎香樟苑(东区),121.3694241,31.26504378,314,81,6,106,0,1
普陀,甘泉宜川,宜川六村,121.445492,31.26501191,493,234,1,93,3,0
浦东,金杨,金樟花苑,121.5713996,31.26499038,611,152,2,91,1,3
浦东,金杨,弘扬公寓,121.5758166,31.26496144,929,97,4,90,1,4
静安,西藏北路,绿洲雅宾利花园(二期),121.4807064,31.26495689,573,218,3,90,0,14
浦东,金桥,张桥小区,121.6367598,31.26495087,583,17,0,82,0,0
普陀,甘泉宜川,宜洛馨苑,121.4454236,31.26455708,450,205,1,94,3,0
杨浦,东外滩,眉州路100弄,121.545044,31.264533,874,245,2,116,0,8
静安,不夜城,芷江西路285弄,121.46735,31.264512,168,116,3,84,0,8
嘉定,丰庄,安盛苑,121.3831382,31.26447806,571,83,1,111,4,2
浦东,金桥,金巷小区,121.606229,31.264444,684,173,4,98,1,2
普陀,甘泉宜川,宜川三村,121.4491744,31.26443909,424,202,0,85,3,1
静安,不夜城,北美公寓,121.465179,31.26440846,76,102,3,94,0,7
浦东,金杨,东方知音苑,121.5812174,31.26438801,688,210,5,105,2,4
杨浦,东外滩,翡丽甲第,121.5255436,31.26436656,583,375,2,96,3,5
普陀,真如,真北二街坊,121.4027328,31.26434024,654,83,1,83,2,1
静安,不夜城,沪太家具大厦,121.4569071,31.26425621,835,99,2,96,1,3
虹口,北外滩,鸿旭豪苑,121.5181466,31.26423429,125,87,5,92,2,7
普陀,真光,上海家园,121.397654,31.2641359,875,155,0,84,4,3
虹口,临平路,垦业小区,121.50039,31.264053,422,468,4,90,2,11
静安,西藏北路,申桂公寓,121.4862549,31.2640406,192,122,7,100,2,13
浦东,金杨,昕泰苑,121.5692334,31.26398149,387,192,1,95,1,2
杨浦,东外滩,海杨公寓,121.535411,31.26371186,263,155,1,85,2,8
静安,西藏北路,宝山路499弄,121.4847172,31.26366155,295,74,7,95,2,13
静安,西藏北路,万科翡翠雅宾利,121.4785614,31.26358044,589,184,2,100,0,12
虹口,临平路,香港丽园,121.5039861,31.26349332,309,321,5,88,0,9
嘉定,丰庄,栅桥小区,121.3549662,31.26346824,332,264,3,94,0,2
嘉定,江桥,华江一村,121.3545531,31.26342047,305,240,3,95,0,2
嘉定,江桥,爱德佳苑(二期),121.3501894,31.26335102,282,160,4,58,2,1
静安,彭浦,岭南路270弄,121.4675849,31.26330179,259,66,3,89,0,7
虹口,北外滩,安国大楼,121.514963,31.26323897,431,76,5,94,1,6
静安,西藏北路,奔腾新干线,121.4836852,31.2630114,414,150,6,100,2,13
虹口,临平路,远虹大厦,121.5065467,31.26297181,264,168,8,95,0,7
普陀,光新,管弄四街坊,121.42924,31.26295985,95,233,2,93,1,2
普陀,真如,品尊国际,121.427025,31.26295885,131,362,3,98,1,6
虹口,北外滩,荣胜公寓,121.515504,31.2628779,391,141,5,91,1,6
静安,不夜城,都荟贤居,121.4649934,31.26284842,243,149,3,92,0,7
嘉定,丰庄,V格时代广场,121.3682857,31.2628147,88,192,6,107,0,3
静安,不夜城,普铁新村,121.4597445,31.26274108,613,206,3,105,0,4
杨浦,东外滩,银龙新村,121.536814,31.26266383,332,46,1,94,1,8
嘉定,江桥,汇丰沁苑,121.334502,31.26255387,805,243,2,107,0,0
浦东,金杨,龙居苑,121.5643534,31.26241496,145,233,1,105,2,2
浦东,金杨,黄山始信苑,121.5769122,31.26239868,627,197,4,89,1,4
普陀,甘泉宜川,和丰苑,121.45049,31.26239744,331,85,0,86,3,1
静安,不夜城,博苑公寓,121.4655036,31.26236982,288,209,3,88,0,7
普陀,光新,管弄一二街坊,121.4319492,31.26235423,344,113,3,108,1,2
虹口,北外滩,中虹明珠苑,121.509139,31.26230986,425,79,7,99,2,9
普陀,真如,天汇广场,121.409884,31.26230584,710,157,5,81,2,1
杨浦,东外滩,崇业小区,121.543654,31.2622813,629,75,2,108,0,8
浦东,金桥,爱法新都,121.6068421,31.26226811,480,173,4,93,1,1
杨浦,东外滩,首创天阅滨江,121.5256786,31.26217998,526,267,2,92,2,4
静安,不夜城,华龙大酒店,121.458618,31.26202487,744,78,3,107,1,4
浦东,金杨,金桥瑞仕花园,121.583114,31.262021,517,227,7,96,2,2
普陀,甘泉宜川,龚家宅,121.4520984,31.26193713,454,202,0,90,4,1
虹口,临平路,瑞嘉苑,121.495268,31.261926,327,351,6,96,5,8
普陀,光新,香溢天地官邸,121.444519,31.261916,302,138,0,99,3,0
普陀,光新,香溢花城(住宅),121.4395755,31.26189738,758,124,1,96,4,1
普陀,真如,真北新村三街坊,121.4060432,31.26163647,556,115,3,85,2,1
嘉定,江桥,江桥二村,121.353151,31.26149517,428,233,2,67,0,2
普陀,中远两湾城,万业新阶,121.4474373,31.2614589,61,102,0,92,3,1
浦东,金桥,嘉泷汇,121.5956072,31.26142912,720,179,5,106,1,1
嘉定,丰庄,嘉秀新苑,121.3735428,31.26138305,447,150,6,85,0,2
静安,不夜城,越秀苑,121.4645231,31.26137317,413,208,4,88,0,6
普陀,真如,高尚领域,121.415192,31.26116589,523,201,5,83,1,1
静安,西藏北路,蒙特利名都城,121.4815804,31.26108563,431,49,6,106,1,11
虹口,四川北路,国际明佳城,121.492916,31.26092288,407,271,6,99,5,12
杨浦,东外滩,保利香槟苑,121.533626,31.26090852,409,158,1,102,1,4
静安,西藏北路,临山路176号,121.4803863,31.26077525,447,167,4,107,1,11
普陀,光新,管弄三街坊,121.4293644,31.26076067,224,98,2,96,1,2
杨浦,东外滩,凯达苑,121.5381112,31.26059058,98,81,1,97,1,8
普陀,光新,宝钢公寓,121.4417869,31.26045707,542,90,0,96,4,0
普陀,光新,宝华城市之星,121.4362631,31.26044936,789,108,3,87,2,6
虹口,临平路,中皇广场,121.5006345,31.26044033,650,163,4,86,5,7
静安,西藏北路,原水小区(闸北),121.4713512,31.26038114,415,66,2,98,1,9
静安,不夜城,中华新路890弄,121.4621634,31.26022093,538,98,4,108,1,6
普陀,真光,真光新村第二小区,121.3939226,31.26009306,331,194,1,83,5,2
虹口,北外滩,惠民路258号,121.520613,31.260042,410,25,3,87,2,4
嘉定,江桥,锦华茗园,121.338564,31.25990684,1001,160,2,108,1,0
静安,西藏北路,复地新都国际,121.4822487,31.25977997,274,68,6,105,2,10
浦东,金杨,金杨新村九街坊,121.588216,31.25970489,398,211,6,90,1,3
杨浦,东外滩,申泉小区,121.5347187,31.25956644,286,55,1,97,1,4
浦东,金杨,上海未来,121.5787654,31.2593874,280,185,8,86,2,3
虹口,四川北路,中州路123号,121.4887524,31.25913744,248,151,7,106,5,11
静安,西藏北路,中兴路一号,121.468532,31.25912478,504,87,5,96,2,30
普陀,光新,月亮湾,121.44072,31.25903989,674,166,0,102,4,0
浦东,金桥,中惠广场,121.61618,31.25898587,692,120,2,114,0,2
浦东,金杨,罗山二村,121.563564,31.258912,534,44,0,85,2,2
浦东,金杨,点睛苑,121.5903641,31.25889311,524,150,5,102,2,2
静安,西藏北路,兴亚广场(办公楼),121.479848,31.25888285,336,64,2,112,1,11
静安,不夜城,兴新小区,121.4682541,31.25866067,450,53,5,98,2,6
虹口,北外滩,前进小区,121.500852,31.25861807,490,81,4,69,6,6
浦东,金桥,碧海现代苑,121.6073601,31.25841742,284,258,2,95,1,1
普陀,光新,石泉大厦,121.4360267,31.25820466,604,78,1,84,2,2
嘉定,丰庄,兆地生活广场,121.368373,31.258149,458,126,6,103,0,2
普陀,中远两湾城,中远两湾城,121.4476989,31.25805502,317,180,0,103,6,1
